,tic,permno,date,moribvol,russellgroup,sector,price,ret_1,ret_5,ret_10,ret_20,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence
0,ADSK,85631,2018-01-02,0.09090909090909091,2,XLK,107.12000274658203,0.021097782999277115,0.04658324975074901,0.05489168181918913,0.07935025949787522,105.33999633789062,107.16000366210938,104.38999938964844,107.12000274658203,2040600,1,-3.1264832227324177,109.29876254199209,103.06923825146495,42.4011854344722,-46.82308981228589,16.988993332250534,111.62399978637696,116.60149981180827,9.973296065241522
0,AMD,61241,2018-01-02,0.045454545454545456,2,XLK,10.979999542236328,0.05191262811422348,0.07650274802826962,0.10928969028951374,0.25136614853987416,10.420000076293945,11.020000457763672,10.34000015258789,10.979999542236328,44146300,1,-0.11761936237529902,11.174243393783462,9.590756281967272,47.8573281575559,16.873342088525867,1.2619941166416395,10.65633322397868,11.573666636149088,9.973296065241522
0,CSCO,76076,2018-01-02,0.015151515151515152,1,XLK,38.86000061035156,0.007977291941642761,0.028955337885278487,0.06810184363415805,0.07691628124850136,38.66999816894531,38.95000076293945,38.43000030517578,33.13564682006836,20135700,1,0.5462965732764928,33.332867578736526,31.723345609434855,68.41345406609545,104.51291749699095,41.56630089081011,32.172675895690915,30.622195625305174,9.973296065241522
0,INTU,78975,2018-01-02,0.12121212121212122,1,XLK,158.72000122070312,0.0027721927035599947,0.04107865939787847,0.037542005063451844,0.06034027349597748,158.22000122070312,158.85000610351562,157.00999450683594,152.83583068847656,1436100,1,1.2275752959432964,155.43367810998498,147.89421800817908,59.46979891051443,59.49131837849395,11.44324287644285,150.86375732421874,147.512925974528,9.973296065241522
0,LRCX,48486,2018-01-02,0.10606060606060606,2,XLK,189.27999877929688,0.017011841759085655,0.04379759550670803,0.08347423912352414,0.011834352012944693,185.14999389648438,189.52000427246094,183.8699951171875,174.29464721679688,2037300,1,-2.665719669498287,175.70753721616006,165.2195501861837,49.54923025028401,-34.52147681180841,12.396252221297068,177.1669952392578,181.20864639282226,9.973296065241522
0,MSFT,10107,2018-01-02,0.13636363636363635,1,XLK,85.94999694824219,0.004653886426240206,0.02641075492140832,0.048749305085631134,0.10541018978450811,86.12999725341797,86.30999755859375,85.5,80.73816680908203,22483800,1,0.7410880963715414,82.69113431690431,76.70544161083006,61.118540814895006,80.76753193728189,18.492283674289006,79.294677734375,77.38868115743001,9.973296065241522
0,ORCL,10104,2018-01-02,0.07575757575757576,1,XLK,46.630001068115234,0.023161012679338455,0.05618700932934173,0.08223644403971742,0.11065402668254043,47.56999969482422,47.79999923706055,46.16999816894531,42.764427185058594,25380000,1,-0.5257724995064947,46.48141370706533,42.16925958700206,40.27103271284604,-145.24479820884187,30.888596848333915,44.5069221496582,44.95553544362386,9.973296065241522
0,QCOM,77178,2018-01-02,0.030303030303030304,1,XLK,65.19999694824219,0.011349777691066265,0.001073615092014979,0.04325153103683954,0.04677918892606803,64.37999725341797,65.33000183105469,64.16999816894531,56.681880950927734,6329600,1,0.28091264110540237,56.883875009582184,55.62273166461215,59.42948776304204,-40.840515671188356,6.133731536906896,56.870884958903,53.027910232543945,9.973296065241522
0,TXN,15579,2018-01-02,0.06060606060606061,1,XLK,105.56999969482422,0.02709103561937809,0.04565690719238291,0.1287297929150264,0.04469790082364877,105.11000061035156,105.62000274658203,104.5,91.73131561279297,4236200,1,1.8212378768709954,93.83876465301137,82.30413390655895,70.26836682987445,122.6385636908439,50.34953854953482,87.15822067260743,84.99457397460938,9.973296065241522
1,ADSK,85631,2018-01-03,0.07575757575757576,2,XLK,109.37999725341797,0.024593183770775795,0.01910773386204534,0.02898158407658591,0.05659172192026496,107.0,109.77999877929688,106.98999786376953,109.37999725341797,1953800,2,-2.627432362818084,109.59825966766729,102.9127411563073,45.73675052391793,-22.366989392534368,0.29444711505124704,111.02033309936523,116.47516644795736,12.582122321823219
1,AMD,61241,2018-01-03,0.13636363636363635,2,XLK,11.550000190734863,0.04935062304139137,0.03549782206001861,0.07965368566554432,0.14718612885704663,11.609999656677246,12.140000343322754,11.359999656677246,11.550000190734863,154066700,2,-0.03257657565866978,11.387659697154408,9.52934002437269,52.01989603618878,145.3515413510773,28.93234498103964,10.661999893188476,11.545666646957397,12.582122321823219
1,CSCO,76076,2018-01-03,0.030303030303030304,1,XLK,39.16999816894531,0.002808361081406474,0.026470372062977754,0.06222064016703932,0.07250853190392914,38.720001220703125,39.279998779296875,38.529998779296875,33.39998245239258,29536000,2,0.5590014420788947,33.46377386036163,31.716080151174012,69.76325282425043,124.05414402252744,47.622006172515874,32.26561915079753,30.699222151438395,12.582122321823219
1,INTU,78975,2018-01-03,0.10606060606060606,1,XLK,159.16000366210938,0.01790645159780979,0.029761375574594018,0.03536645751922096,0.043238770542575855,158.22999572753906,159.3300018310547,157.74000549316406,153.25949096679688,1410900,2,1.205176902874598,155.46753773087732,148.30523143416173,60.086934112701414,73.57531267303877,15.211590546953571,150.947531636556,147.75333658854166,12.582122321823219
1,LRCX,48486,2018-01-03,0.12121212121212122,2,XLK,192.5,0.004571454133838415,-0.004363617409884224,0.06727271482360653,-0.01761038421155403,190.67999267578125,193.82000732421875,189.6199951171875,177.25973510742188,2583300,2,-2.0330307427131515,176.65220194528,165.40382069876296,51.462307393796706,-1.9173736395553114,0.8739813450599628,176.63329010009767,181.334206644694,12.582122321823219
1,MSFT,10107,2018-01-03,0.045454545454545456,1,XLK,86.3499984741211,0.008801414631307125,0.017023755399072193,0.043427912562307824,0.09160398471532916,86.05999755859375,86.51000213623047,85.97000122070312,81.11390686035156,26061400,2,0.7520085226848607,82.49346281276674,77.39815706028013,62.05529706481829,94.52275121787267,20.834614742485712,79.41835988362631,77.55666669209798,12.582122321823219
