date,ADSK,AMD,CSCO,FSLR,INTU,LRCX,MSFT,ORCL,QCOM,TXN,WU
2007-01-04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2007-01-05,0.4030508292857314,0.0,0.0,0.0,0.0,0.0,0.5969491707142686,0.0,0.0,0.0,0.0
2007-01-08,0.4008224427413898,0.0,0.0,0.0,0.0,0.0,0.5991775572586102,0.0,0.0,0.0,0.0
2007-01-09,0.294226888866594,0.1553084473651757,0.0,0.0,0.0,0.0,0.5504646637682303,0.0,0.0,0.0,0.0
2007-01-10,0.2600004539840844,0.1455556839103282,0.0,1e-16,0.0,0.0,0.1696554466906111,0.4247884154149762,0.0,0.0,0.0
2007-01-11,0.2021668240257763,0.0421764766235636,0.0,1e-16,0.0943570168225514,0.0,0.2043185712595731,0.4569811112685352,1e-16,1e-16,1e-16
2007-01-12,0.3793880575689644,0.0,0.0,0.0,0.0431374048076701,0.0,0.1374893871411757,0.43998515048219,0.0,0.0,0.0
2007-01-16,0.3997632547845616,0.0,0.0,0.0018016060051542,0.0288362476057862,0.0,0.1509788734558384,0.4186200181486596,0.0,0.0,0.0
2007-01-17,0.0,0.1035151572700813,0.0,0.0,0.2326173708168104,0.0,0.3168151787993746,0.3470522931137336,0.0,0.0,0.0
2007-01-18,0.0,0.105148791740201,0.0,0.0085450753228813,0.2377440633080038,0.0,0.317284014253155,0.331278055375759,0.0,0.0,0.0
2007-01-19,0.0,0.1034778965201097,0.0,0.1652414973046926,0.2763315039628306,0.0,0.2029130158337752,0.2520360863785917,0.0,0.0,0.0
2007-01-22,0.0190028708109963,0.1118984103362093,0.0603359724686586,0.011795209336574,0.1968939206240285,0.0,0.3113439241163065,0.2887296923072266,0.0,0.0,0.0
2007-01-23,0.0264520193066123,0.1005494700613423,0.0721339276349203,0.0134257328970951,0.1976045137803383,0.0,0.3055240010888051,0.2843103352308866,0.0,0.0,0.0
